customer_id,order_date,product_ids,order_value,geo_state,geo_region,customer_type,survey_response,purchase_pattern,final_cohort,repeat_purchase_1,days_to_repeat,ltv_estimate,engagement_score,notes
ORD-2026-001,2026-05-15,"wild-edibles, medicinal-plants",42.50,OR,Pacific Northwest,first-time,high-intent-forager,forager,high-intent-forager,2026-07-20,66,180,4,"High engagement with medicinal content; purchased 2 guides in one order. Likely regional forager from PNW."
ORD-2026-002,2026-05-16,complete-bundle,89.99,TX,South Central,first-time,survival-prepper,prepper,survival-prepper,2026-08-12,88,220,4,"Large single purchase (6+ guides). Survey indicates emergency preparedness focus. High LTV potential."
ORD-2026-003,2026-05-17,medicinal-plants,28.50,VT,Northeast,repeat,homesteader,homesteader,homesteader,2026-08-05,80,160,4,"Previous customer returning for medicinal content. Homesteading-focused. Strong retention signal."
ORD-2026-004,2026-05-18,wild-edibles,22.00,CA,West Coast,first-time,gift-buyer,gift-buyer,gift-buyer,,,45,2,"Gift purchase, no repeat within 90 days. Lower LTV. Aspiration/lifestyle positioning resonated."
ORD-2026-005,2026-05-19,"plant-id, mushroom-guide",51.25,WA,Pacific Northwest,first-time,high-intent-forager,forager,high-intent-forager,2026-06-30,42,200,5,"Very high intent: 2 specialized guides. Quick repeat purchase (6 weeks). Classic forager pattern."
ORD-2026-006,2026-05-20,wild-edibles,22.00,PA,Northeast,first-time,homesteader,forager,high-intent-forager,,,130,3,"Survey indicated homesteading but behavior suggests forager (single focused purchase). May have multiple interests."
ORD-2026-007,2026-05-21,medicinal-plants,28.50,TN,South,first-time,homesteader,homesteader,homesteader,,,,4,"Homesteading survey response. Geographic match (TN = homesteading region). Awaiting repeat data."
ORD-2026-008,2026-05-22,"wild-edibles, medicinal-plants, prep-bundle",75.00,ID,Mountain West,first-time,survival-prepper,prepper,survival-prepper,2026-09-15,116,250,5,"Large multi-guide purchase. Prepper survey. High cart value. Strong repeat signal (~4 months)."
ORD-2026-009,2026-05-23,wild-edibles,22.00,NY,Northeast,first-time,gift-buyer,forager,high-intent-forager,,,140,2,"Gift survey but geographic/product suggests forager. Data conflict; may be gift for fellow forager."
ORD-2026-010,2026-05-24,mushroom-guide,22.00,OR,Pacific Northwest,first-time,high-intent-forager,forager,high-intent-forager,2026-08-10,78,170,4,"Specialized mushroom guide purchase. High seasonality signal. Expect repeat in fall (mushroom season)."
ORD-2026-011,2026-05-25,complete-bundle,89.99,SC,South,repeat,survival-prepper,prepper,survival-prepper,2026-11-10,165,300,5,"Repeat customer (2nd purchase). Large bundle. Prepper segment confirmed. Very high LTV."
ORD-2026-012,2026-05-26,medicinal-plants,28.50,VT,Northeast,first-time,homesteader,homesteader,homesteader,2026-07-15,50,175,4,"Homesteading profile matches product + geography. Strong repeat signal. Regional cluster (Northeast)."
ORD-2026-013,2026-05-27,plant-id,22.00,CA,West Coast,first-time,high-intent-forager,forager,high-intent-forager,,,150,3,"Plant ID guide suggests knowledge-seeker (forager pattern). Awaiting repeat purchase data."
ORD-2026-014,2026-05-28,wild-edibles,22.00,CO,Mountain West,first-time,gift-buyer,forager,high-intent-forager,,,155,3,"Gift survey but product pattern suggests gift for forager. High price point gift ($22)."
ORD-2026-015,2026-05-29,"medicinal-plants, prep-bundle",56.50,WI,Midwest,first-time,homesteader,homesteader,homesteader,2026-08-20,83,190,4,"Homesteading + prep bundle. Homesteader with emergency prep interest. Strong repeat signal."
ORD-2026-016,2026-05-30,mushroom-guide,22.00,OR,Pacific Northwest,first-time,high-intent-forager,forager,high-intent-forager,2026-06-25,26,200,5,"Very quick repeat (26 days). Specialty mushroom + rapid return = serious forager. Highest engagement."
ORD-2026-017,2026-05-31,wild-edibles,22.00,MD,Northeast,first-time,gift-buyer,gift-buyer,gift-buyer,,,45,1,"Gift survey + no repeat = true gift buyer. Lower LTV segment. Mobile traffic likely."
ORD-2026-018,2026-06-01,"plant-id, mushroom-guide, medicinal-plants",66.50,PA,Northeast,first-time,high-intent-forager,forager,high-intent-forager,2026-08-02,62,220,5,"High-value multi-guide purchase. Specialized bundles. Strong forager signals. Very high LTV."
ORD-2026-019,2026-06-02,complete-bundle,89.99,AR,South,first-time,survival-prepper,prepper,survival-prepper,2026-10-05,125,280,5,"Large prepper bundle. Geographic match (rural South). 4-month repeat = seasonal event-driven."
ORD-2026-020,2026-06-03,medicinal-plants,28.50,IN,Midwest,first-time,homesteader,homesteader,homesteader,2026-09-10,99,160,4,"Homesteading region (Midwest). Medicinal focus suggests healthcare interest. Repeat awaited."
