Date,Milestone,Owner,Slack (days),Status,Notes
2026-05-09,Place all vendor orders (Strictly Medicinal Seeds — Black Cohosh plant + Goldenseal seeds; Mountain Rose Herbs — Ginseng root + Goldenseal root),User,0,Not Started,"URGENT: Orders are 1 day past the May 8 ideal deadline. Place today using expedited shipping. Strictly Medicinal: order note 'ship ASAP'. Mountain Rose Herbs ships 2-day Priority. Every day of delay eats into plant acclimatization time before May 20 shoot."
2026-05-10,Confirm Prairie Moon Nursery ramps bulblet availability; place order if in stock,User,0,Not Started,"Call or check prairiemoon.com inventory directly — spring stock varies week to week. If unavailable: Etsy small growers search ('ramps bulbs Appalachian') or accept that fresh market leaves on May 18-19 are the primary prop. Do not wait more than 1 day on this decision."
2026-05-10,Begin iNaturalist CC-BY photo curation — 5-8 Research Grade CC-BY observations per species (all 4 species),User,5,Not Started,"Filter: photo_license=cc-by AND quality_grade=research at inaturalist.org. Target: full plant / leaf / flower-fruit / root-rhizome / seed angles per species. Log each selected photo in WORKLOG.md: observer name, iNaturalist URL, license confirmed, intended guide section. CC-BY-NC is not sufficient for commercial use — verify license on each observation."
2026-05-10,Begin BHL botanical illustration sourcing — 2 illustrations per species,User,5,Not Started,"Source: biodiversitylibrary.org item 116021 (Ginseng and Goldenseal Growers Handbook 1912) for ginseng and goldenseal engravings. Search Latin names in BHL main search and flickr.com/photos/biodivlibrary. Pre-1928 material is public domain. Download highest resolution available. No attribution required (citing BHL is good practice)."
2026-05-10,Submit Asheville Botanical Garden commercial photography permit application,User,2,Not Started,"Submit via ashevillebotanicalgarden.org/facility-rental. Include: shoot dates May 20-21, crew size 1-2 persons, equipment list (camera/smartphone, portable reflector, no mounted lights), intended use (botanical guide photography for digital educational publication sold on Etsy). Fee: $25-75 per 2-hour session; budget $75-150. Deadline to submit is May 12 (7-day lead time for May 20); submitting May 10 provides a 2-day buffer for back-and-forth."
2026-05-10,Begin United Plant Savers outreach for private forest farm backup location,User,3,Not Started,"Email UpS member services requesting introduction to a western North Carolina forest farm sanctuary member who would permit commercial botanical photography. This is Backup 1 if Asheville Botanical Garden cannot confirm by May 13. Written landowner permission is sufficient. Outreach template in phase-2-location-scout-report.md Part 3."
2026-05-10,Location confirmed (primary or backup) — MILESTONE,User,0,Not Started,"HARD GATE: By end of May 10, at least one of the following must be confirmed: (a) Asheville Botanical Garden application submitted, or (b) UpS forest farm outreach initiated. If neither is done, activate indoor-only contingency immediately — indoor studio is always available at $0 cost and gates nothing."
2026-05-11,Order Mountain Rose Herbs dried roots — Ginseng whole root (1 oz) + Goldenseal dried root (1 oz),User,1,Not Started,"mountainroseherbs.com. USPS Priority 2-day ship. Expected arrival May 13-14. Both dried roots are available year-round — zero availability risk. This is the most reliable order in the plan. Budget: $28-42 combined."
2026-05-13,Asheville Botanical Garden permit confirmed in writing (or Backup 1 private farm permission obtained),User,0,Not Started,"Garden events manager typically responds within 1-3 business days. If no response by May 13: escalate by phone and activate UpS private farm backup simultaneously. Do not wait past May 13 to confirm location — shoot cannot proceed on public land without written permission."
2026-05-13,Ginseng dried root + Goldenseal dried root received from Mountain Rose Herbs,User,5,Not Started,"Expected arrival May 13-14 based on May 11 order + 2-day Priority ship. Inspect on arrival: photograph packaging, check for damage, log in WORKLOG.md (species / vendor / order date / arrival date / condition). Storage: room temperature, paper bag or kraft envelope, no refrigeration."
2026-05-15,Canva master template complete — Brand Kit confirmed, 8-zone guide structure locked, Zone 5-6 conservation sections built,User,0,Not Started,"Production begins May 15, independent of the photo shoot. Build master template using BHL illustrations and iNaturalist CC-BY digital sources already curated. Guide structure: 8 zones per guide (Cover / Quick ID / Ecology / Cultivation / Conservation / Practical Use / Sourcing Guide / Further Learning). This template is the foundation all 4 guides duplicate from."
2026-05-15,American Ginseng guide draft complete in Canva (master guide — all placeholder photos filled with digital sources),User,3,Not Started,"Ginseng is produced first: highest search volume, anchors the master template. Estimated 5-6 hours. All iNaturalist CC-BY and BHL illustration photos in place. Physical prop photos from the May 20-22 shoot will slot in during May 26 photo integration pass. Export draft PDF for internal review."
2026-05-15,Plants sourced and in-house — MILESTONE,User,0,Not Started,"COMPOSITE MILESTONE: All mail-order plant material must be received or confirmed in transit by May 15. Confirmed in transit means: tracking number active with expected delivery by May 18. If any item has no tracking confirmation by May 15: escalate immediately — order Mountain Rose Herbs 2-day Priority as emergency backup and source remaining props locally same-day."
2026-05-17,Goldenseal guide draft complete in Canva,User,8,Not Started,"Duplicate from Ginseng master template. Replace species-specific content: CITES Appendix II status, yellow root ID photo, state-endangered documentation for 7 states, cultivated seed sourcing. Estimated 3-4 hours. CITES documentation is the most research-dense section in this guide — cite FWS permit page and Sustainable Herbs Initiative sources already in endangered-species-candidate-list.md."
2026-05-17,Confirm all mail-order plant material has shipping tracking; identify any gaps,User,1,Not Started,"Check tracking for: Strictly Medicinal Seeds (Black Cohosh plant + Goldenseal seeds, 8-12 day lead from May 10 order). Prairie Moon Nursery (ramps bulblets, 7-14 day lead). If any item lacks tracking by May 17: place emergency order from backup vendor or local garden center immediately."
2026-05-18,Black Cohosh guide draft complete in Canva,User,7,Not Started,"Duplicate from master template. Lead content hook: 95% wild-harvest statistic despite decades of conservation concern. Cultivation section: shade percentage, stratification requirements, establishment timeline. Live potted plant arrives from Strictly Medicinal Seeds around May 18-22 — plant begins acclimatization immediately on arrival."
2026-05-18,All plant specimens received and acclimatized — verified ready for shoot,User,1,Not Started,"Inspection protocol: photograph packaging on arrival, log in WORKLOG.md. Black Cohosh live plant: east- or south-facing window, water lightly, 48 hours acclimatization minimum before shooting (place in window by May 18 for May 20 shoot). Dried roots: stable, no action needed. Ramps fresh leaves: purchase May 18-19, refrigerate in damp paper towel, photograph within 24-48 hours."
2026-05-19,Ramps guide draft complete in Canva,User,6,Not Started,"Last position because ramps photography is most variable (seasonal fresh leaves, bulblet arrival uncertain). Ramps guide benefits from the refined template established in guides 1-3. Cultural hooks: Quebec commercial harvest ban, Cherokee wasdi traditions, Quebec-documented 20% population loss. Cite Ecology & Society ramps-Cherokee study listed in endangered-species-candidate-list.md sources."
2026-05-19,Purchase fresh ramps leaves from local farmers market or specialty grocery,User,1,Not Started,"Buy May 18 or 19 (within 24-48 hours of May 20 shoot). Cost $3-8. Refrigerate in damp paper towel in a loose bag. Mist lightly with spray bottle immediately before photographing. Do not pre-cut or wash until shoot day."
2026-05-20,Photo shoot Day 1 complete — Cluster 1 (Field): Ginseng, Goldenseal, Ramps at Asheville Botanical Garden,User,0,Not Started,"Arrive 8:00am. Light test shot. Walk site to identify 3-4 shooting positions (north-facing understory, root foreground, open leaf-litter surface). 9:00-10:15am Ginseng sequence (30-40 RAW frames). 10:15-11:30am Goldenseal sequence. 11:30am-12:45pm Ramps sequence. 12:45pm midday laptop review — flag re-shoots. Backup: if rain, swap Cluster 1 and Cluster 2 (indoor shoot on May 20; field on May 21)."
2026-05-20,Photo shoot complete — MILESTONE,User,0,Not Started,"COMPOSITE MILESTONE covering May 20-22 three-cluster shoot. This milestone is met when all three clusters have been executed and image transfer/backup is confirmed. Cluster 1 (May 20, field), Cluster 2 (May 21, indoor), Cluster 3 (May 22, field+indoor). Float days May 23-25 for processing."
2026-05-21,Photo shoot Day 2 complete — Cluster 2 (Indoor): All 4 species root and seed close-ups,User,2,Not Started,"9:00am setup: dark wood board 2-3 feet from east/south window; white foam-core reflector opposite; white balance locked at 5500K. Ginseng root (9:30-10:15am), Goldenseal root (10:15-11:00am), Black Cohosh root+seed (11:00-11:45am), Ramps bulblet (11:45am-12:30pm). Transfer and backup by 1:00pm. Afternoon: optional retakes + begin Lightroom batch editing on Cluster 1."
2026-05-22,Photo shoot Day 3 complete — Cluster 3 (Black Cohosh field + indoor supplement),User,3,Not Started,"9:00am-12:00pm: Black Cohosh field session at Asheville Botanical Garden — compound leaf arrangement, stem detail. 2:00-4:00pm: Indoor supplement — dried specimens, botanical illustration props. 4:00pm: Transfer and backup. Begin full Day 3 image cull."
2026-05-25,All photos edited and exported — attribution log complete; all 4 Canva guides export-ready as draft PDFs,User,0,Not Started,"HARD GATE: If all 4 guides are not exportable by May 25 end of day, trigger the June 6 contingency. Do not attempt to launch 1-2 guides on May 30 unless Ginseng and Goldenseal are both fully export-ready. Editing: full cull May 23, Lightroom batch editing May 24, export finals May 25 (2000px minimum long edge, JPEG 90%). Attribution log: log every iNaturalist CC-BY photo used (observer name, URL, license, guide section)."
2026-05-25,Guides live on Etsy (draft) — MILESTONE,User,0,Not Started,"All 4 individual guide PDFs plus bundle uploaded to Etsy as draft listings. Titles, tags (12 per listing), descriptions, and pricing entered. Digital delivery configured. Cover images uploaded. Note: listings remain in draft (not published) until May 30. This milestone is met when all content is loaded and the listing only needs a publish click."
2026-05-26,Photo integration pass — insert May 20-22 shoot photos into all 4 Canva guides; re-export updated PDFs,User,4,Not Started,"Slot physical prop photos from the shoot into established template zones. Replace any iNaturalist CC-BY placeholder images that the shoot produced higher-quality equivalents for. Re-export all 4 PDFs and replace uploaded files on Etsy draft listings."
2026-05-27,All Etsy listing drafts fully loaded — PDFs, cover images, lifestyle images, tags, descriptions verified,User,3,Not Started,"Upload sequence: 4 individual guide PDFs + 1 bundle listing. Verify digital delivery is configured correctly on each listing. Upload lifestyle images (from shoot processing or BHL illustration covers). Final tag check against etsy-seo-market-research.md."
2026-05-28,Kit email automation confirmed working — test tag fires correctly; launch broadcast staged for May 30 12:00pm,User,2,Not Started,"Create 'Endangered Species Guide Delivery' automation in Kit. Build 3-email post-purchase sequence. Stage launch broadcast (subject: 'These plants are disappearing. Here is how to grow them.') for 12:00pm May 30 send. End-to-end test: manually apply purchased-ginseng-guide tag to test email; confirm delivery automation fires."
2026-05-28,Proofreading pass complete on all 4 guides — phone-screen review, all URLs live, no placeholder text,User,2,Not Started,"Proofreading protocol: read each guide start-to-finish on a phone screen. Check all Zone 7 vendor URLs for live links (different browser tab). Search for placeholder text: 'TBD', 'INSERT', '[Name]', 'XX' — zero should remain. Confirm educational disclaimer in Zone 6 of every guide. Confirm CC-BY attribution in image caption or footnote for every iNaturalist photo."
2026-05-28,Social media posts scheduled in Buffer — Instagram, Pinterest, TikTok launch week content loaded,User,2,Not Started,"Schedule: Instagram launch post (guide cover + conservation stat) at 2:00pm May 30. Ramps cultural story post at 3:00pm May 30. Pinterest launch pins (3 pins, staggered 2 hours apart). Content from phase-2-social-content-calendar-60day.md and phase-2-campaign-copy-drafts.md."
2026-05-29,Final Etsy listing QA — test download each guide PDF as a buyer; confirm pricing and bundle discount correct,User,1,Not Started,"Purchase-as-buyer test: add each listing to cart and verify checkout flow. Download each PDF and open — confirm no font substitution, no text overflow, no missing images. Confirm bundle discount applies correctly. All listings remain in draft until May 30 9:30am."
2026-05-30,Phase 2 launch day — all 5 Etsy listings published at 9:30am; Kit broadcast sends at 12:00pm — HARD DEADLINE,User,0,Not Started,"LAUNCH SEQUENCE: 9:30am activate all 5 listings. 10:00am monitor for delivery errors. 12:00pm Kit broadcast sends. 2:00pm Instagram launch post. 3:00pm Ramps cultural story post. 4:00pm Pinterest pins (3 staggered). 6:00-8:00pm respond to comments and DMs. SOFT LAUNCH FALLBACK: if only Ginseng + Goldenseal are export-ready by May 29, launch 2 guides May 30 and announce 'full Appalachian Medicinals collection launching June 6' in the broadcast and listing descriptions."
